place_id,name,address,latitude,longitude,rating,review_count,primary_type,types,website,google_maps_url,search_query,price_numeric_imputed,price_tier_imputed,price_tier_numeric
ChIJ0X9FAJxzhlQRYVVDN4XOvaI,Tamarind Tales,"1128 W Broadway #201, Vancouver, BC V6H 1G5",49.2633333,-123.13,5.0,1005.0,indian_restaurant,"indian_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.tamarindtales.ca/,https://maps.google.com/?cid=11726756076295771489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Indian restaurants in Kitsilano BC,2.0,$$,2
ChIJC3Qfog5zhlQRUZb14_bjCJM,Jake's Thai Food,"1386 Kingsway, Vancouver, BC V5V 3E4",49.2501998,-123.076692,5.0,176.0,meal_takeaway,"meal_takeaway, thai_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment",https://www.callmejakethaifood.com/,https://maps.google.com/?cid=10594968772915074641&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Thai restaurants in Gastown BC,2.0,$$,2
ChIJiyOJNABzhlQR4sSErME-_K0,Green Bliss,"3623 Main St, Vancouver, BC V5V 1M1",49.2524603,-123.1011916,5.0,95.0,salad_shop,"salad_shop, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=12536964464236610786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vegan restaurants in Mount Pleasant BC,2.0,$$,2
ChIJO8er-JJzhlQR18l9dIBv5mI,Paella La Flamenca,"1780 W 3rd Ave, Vancouver, BC V6J 1K4",49.2686919,-123.14513789999998,5.0,60.0,food,"food, point_of_interest, establishment",https://www.paellalaflamenca.com/,https://maps.google.com/?cid=7126506057861286359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Spanish restaurants in Downtown Vancouver BC,2.0,$$,2
ChIJA8fDck7PhVQRwV03i72dQDY,Dr.D’s Jerk Spot,"5680 198 St, Langley, BC V3A 7C7",49.1057382,-122.6726454,5.0,60.0,meal_takeaway,"meal_takeaway, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=3909297913967631809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Richmond BC,2.0,$$,2
ChIJNWLHfN9xhlQRIzznVmCfSlI,Holly Food,"222 MacKay Rd, North Vancouver, BC V7P 3H4",49.3196756,-123.1017874,5.0,56.0,meal_takeaway,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://hollyfood.ca/,https://maps.google.com/?cid=5929727095510350883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vegetarian restaurants in North Vancouver BC,2.0,$$,2
ChIJWRLWAyrfTIsRQ5snW8l7Elk,Lokanta Boutique Catering,"1780 W 3rd Ave, Vancouver, BC V6J 1K4",49.2686919,-123.14513789999998,5.0,55.0,catering_service,"catering_service, turkish_restaurant, food_delivery, restaurant, food, point_of_interest, service, establishment",http://www.lokantabc.ca/,https://maps.google.com/?cid=6418328523704343363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Turkish restaurants in Kitsilano BC,2.0,$$,2
ChIJ8RIZaABxhlQRi7YUwlfMAS0,Loreto Brunch and Dinner,"219 Union St, Vancouver, BC V6A 2B2",49.277785300000005,-123.0989703,5.0,34.0,brunch_restaurant,"brunch_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=3243097883973826187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Spanish restaurants in Gastown BC,2.0,$$,2
ChIJNRmcctZzhlQRUqf3-jNAsJw,Antojitos El Rincon del Mexicano,"1605 W 5th Ave, Vancouver, BC V6J 1N5",49.267321800000005,-123.14113,5.0,34.0,mexican_restaurant,"mexican_restaurant, restaurant, food, point_of_interest, establishment",https://antojitoselrincondelmexicano.ca/,https://maps.google.com/?cid=11290594857815877458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mexican restaurants in Kitsilano BC,1.0,$,1
ChIJRZsRXNVxhlQRamWCThp0pLY,Tsukiji Kitchen,"228 Lonsdale Ave, North Vancouver, BC V7M 2G1",49.3130111,-123.0772298,5.0,30.0,restaurant,"restaurant, food, point_of_interest, establishment",https://www.tsukijikitchen.com/,https://maps.google.com/?cid=13160771667418572138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in North Vancouver BC,2.0,$$,2
ChIJOXnANQdxhlQRlhOJ5q9npcA,Simya Korea Chicken East Van,"1205 E Hastings St, Vancouver, BC V6A 1S4",49.2815908,-123.0789905,5.0,29.0,korean_restaurant,"korean_restaurant, korean_barbecue_restaurant, asian_restaurant, chicken_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.simyakoreachicken.com/,https://maps.google.com/?cid=13881615431624102806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Korean restaurants in Commercial Drive BC,2.0,$$,2
ChIJu55WDABxhlQRUOzOWGuC71I,The Mainstay,"123 Carrie Cates Ct #148, North Vancouver, BC V7M 3K7",49.3102621,-123.0817437,5.0,23.0,bar,"bar, point_of_interest, establishment",http://www.themainstay.ca/,https://maps.google.com/?cid=5976138628107005008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in North Vancouver BC,2.0,$$,2
ChIJVyaF4GpzhlQRDC3tH3bIWDA,Travessia Brazilian Kitchen,"Pick up at the back door (located in the alley, 1780 W 3rd Ave, Vancouver, BC V6J 1K4",49.2687123,-123.1451282,5.0,16.0,brazilian_restaurant,"brazilian_restaurant, restaurant, food, point_of_interest, establishment",https://www.travessia.ca/,https://maps.google.com/?cid=3483754721438412044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Brazilian restaurants in Downtown Vancouver BC,2.0,$$,2
