place_id,name,address,latitude,longitude,rating,review_count,price_level,primary_type,types,website,google_maps_url,search_query
ChIJrZQ0ObdzhlQRkWBAATEJY6g,Leelawadee Thai Spa Downtown Location,"1282 Howe St, Vancouver, BC V6Z 2N7",49.2769565,-123.1281793,5.0,1011.0,,spa,"spa, point_of_interest, establishment",http://www.leelawadeethaispa.com/,https://maps.google.com/?cid=12133551927145291921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Thai restaurants in Downtown Vancouver BC
ChIJ0X9FAJxzhlQRYVVDN4XOvaI,Tamarind Tales,"1128 W Broadway #201, Vancouver, BC V6H 1G5",49.2633333,-123.13,5.0,1005.0,,indian_restaurant,"indian_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.tamarindtales.ca/,https://maps.google.com/?cid=11726756076295771489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Indian restaurants in Kitsilano BC
ChIJC3Qfog5zhlQRUZb14_bjCJM,Jake's Thai Food,"1386 Kingsway, Vancouver, BC V5V 3E4",49.2501998,-123.07669200000001,5.0,176.0,,meal_takeaway,"meal_takeaway, thai_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment",https://www.callmejakethaifood.com/,https://maps.google.com/?cid=10594968772915074641&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Thai restaurants in Gastown BC
ChIJacc92bpzhlQRm0jNl6Aa0Us,Hooked on Fish,"4513 W 10th Ave, Vancouver, BC V6R 2J1",49.2640548,-123.20946359999999,5.0,124.0,,market,"market, food, point_of_interest, establishment",http://www.facebook.com/hookedonfishvancouver/,https://maps.google.com/?cid=5463177100021024923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Seafood restaurants in West End BC
ChIJiyOJNABzhlQR4sSErME-_K0,Green Bliss,"3623 Main St, Vancouver, BC V5V 1M1",49.252460299999996,-123.10119159999999,5.0,95.0,,salad_shop,"salad_shop, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=12536964464236610786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vegan restaurants in Mount Pleasant BC
ChIJO8er-JJzhlQR18l9dIBv5mI,Paella La Flamenca,"1780 W 3rd Ave, Vancouver, BC V6J 1K4",49.2686919,-123.14513789999998,5.0,60.0,,food,"food, point_of_interest, establishment",https://www.paellalaflamenca.com/,https://maps.google.com/?cid=7126506057861286359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Spanish restaurants in Downtown Vancouver BC
ChIJA8fDck7PhVQRwV03i72dQDY,Dr.D’s Jerk Spot,"5680 198 St, Langley, BC V3A 7C7",49.1057382,-122.6726454,5.0,60.0,,meal_takeaway,"meal_takeaway, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=3909297913967631809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Richmond BC
ChIJNWLHfN9xhlQRIzznVmCfSlI,Holly Food,"222 MacKay Rd, North Vancouver, BC V7P 3H4",49.3196756,-123.10178739999999,5.0,56.0,,meal_takeaway,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://hollyfood.ca/,https://maps.google.com/?cid=5929727095510350883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vegetarian restaurants in North Vancouver BC
ChIJWRLWAyrfTIsRQ5snW8l7Elk,Lokanta Boutique Catering,"1780 W 3rd Ave, Vancouver, BC V6J 1K4",49.2686919,-123.14513789999998,5.0,55.0,,catering_service,"catering_service, turkish_restaurant, food_delivery, restaurant, food, point_of_interest, service, establishment",http://www.lokantabc.ca/,https://maps.google.com/?cid=6418328523704343363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Turkish restaurants in Kitsilano BC
ChIJ8RIZaABxhlQRi7YUwlfMAS0,Loreto Brunch and Dinner,"219 Union St, Vancouver, BC V6A 2B2",49.277785300000005,-123.09897029999999,5.0,34.0,,brunch_restaurant,"brunch_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=3243097883973826187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Spanish restaurants in Gastown BC
